,Alzheimer Disease,Breast Cancer,Cardiovascular Disease,Chronic Obstructive Pulmonary Disease,Gastric Cancer,Glioblastoma,Heart Stroke,Hepatocellular Carcinoma,Liver Cirrhosis,Lung Adenocarcinoma,Lung Cancer,Male Infertility,Parkinson Disease,Renal Cell Carcinoma,Rheumatoid Arthritis
Alzheimer Disease,1.0,0.04823151125401929,0.21338912133891214,0.023622047244094488,0.04823151125401929,0.10135135135135136,0.023622047244094488,0.016181229773462782,0.03557312252964427,0.015384615384615385,0.045871559633027525,0.05976095617529881,0.2440944881889764,0.02027027027027027,0.04424778761061947
Breast Cancer,0.04823151125401929,1.0,0.20270270270270271,0.04823151125401929,0.21739130434782608,0.1501416430594901,0.04823151125401929,0.14207650273224043,0.05806451612903226,0.13089005235602094,0.20833333333333334,0.07792207792207792,0.04823151125401929,0.1501416430594901,0.06060606060606061
Cardiovascular Disease,0.21338912133891214,0.20270270270270271,1.0,0.21338912133891214,0.20270270270270271,0.18149466192170818,0.497907949790795,0.17006802721088435,0.226890756302521,0.16129032258064516,0.19230769230769232,0.2542372881355932,0.21338912133891214,0.18149466192170818,0.18518518518518517
Chronic Obstructive Pulmonary Disease,0.023622047244094488,0.04823151125401929,0.21338912133891214,1.0,0.04823151125401929,0.02027027027027027,0.023622047244094488,0.016181229773462782,0.03557312252964427,0.12615384615384614,0.327217125382263,0.05976095617529881,0.023622047244094488,0.02027027027027027,0.04424778761061947
Gastric Cancer,0.04823151125401929,0.21739130434782608,0.20270270270270271,0.04823151125401929,1.0,0.1501416430594901,0.04823151125401929,0.2896174863387978,0.13548387096774195,0.13089005235602094,0.20833333333333334,0.07792207792207792,0.04823151125401929,0.1501416430594901,0.06060606060606061
Glioblastoma,0.10135135135135136,0.1501416430594901,0.18149466192170818,0.02027027027027027,0.1501416430594901,1.0,0.02027027027027027,0.1168091168091168,0.030508474576271188,0.10626702997275204,0.14363143631436315,0.051194539249146756,0.10135135135135136,0.1242603550295858,0.03937007874015748
Heart Stroke,0.023622047244094488,0.04823151125401929,0.497907949790795,0.023622047244094488,0.04823151125401929,0.02027027027027027,1.0,0.016181229773462782,0.03557312252964427,0.015384615384615385,0.045871559633027525,0.05976095617529881,0.023622047244094488,0.02027027027027027,0.04424778761061947
Hepatocellular Carcinoma,0.016181229773462782,0.14207650273224043,0.17006802721088435,0.016181229773462782,0.2896174863387978,0.1168091168091168,0.016181229773462782,1.0,0.2532467532467532,0.18421052631578946,0.13612565445026178,0.0457516339869281,0.016181229773462782,0.20797720797720798,0.03553299492385787
Liver Cirrhosis,0.03557312252964427,0.05806451612903226,0.226890756302521,0.03557312252964427,0.13548387096774195,0.030508474576271188,0.03557312252964427,0.2532467532467532,1.0,0.024691358024691357,0.05521472392638037,0.072,0.03557312252964427,0.030508474576271188,0.05325443786982249
Lung Adenocarcinoma,0.015384615384615385,0.13089005235602094,0.16129032258064516,0.12615384615384614,0.13089005235602094,0.10626702997275204,0.015384615384615385,0.18421052631578946,0.024691358024691357,1.0,0.5778894472361809,0.043478260869565216,0.015384615384615385,0.19346049046321526,0.03414634146341464
Lung Cancer,0.045871559633027525,0.20833333333333334,0.19230769230769232,0.327217125382263,0.20833333333333334,0.14363143631436315,0.045871559633027525,0.13612565445026178,0.05521472392638037,0.5778894472361809,1.0,0.07407407407407407,0.045871559633027525,0.14363143631436315,0.05825242718446602
Male Infertility,0.05976095617529881,0.07792207792207792,0.2542372881355932,0.05976095617529881,0.07792207792207792,0.051194539249146756,0.05976095617529881,0.0457516339869281,0.072,0.043478260869565216,0.07407407407407407,1.0,0.05976095617529881,0.051194539249146756,0.07142857142857142
Parkinson Disease,0.2440944881889764,0.04823151125401929,0.21338912133891214,0.023622047244094488,0.04823151125401929,0.10135135135135136,0.023622047244094488,0.016181229773462782,0.03557312252964427,0.015384615384615385,0.045871559633027525,0.05976095617529881,1.0,0.02027027027027027,0.04424778761061947
Renal Cell Carcinoma,0.02027027027027027,0.1501416430594901,0.18149466192170818,0.02027027027027027,0.1501416430594901,0.1242603550295858,0.02027027027027027,0.20797720797720798,0.030508474576271188,0.19346049046321526,0.14363143631436315,0.051194539249146756,0.02027027027027027,1.0,0.03937007874015748
Rheumatoid Arthritis,0.04424778761061947,0.06060606060606061,0.18518518518518517,0.04424778761061947,0.06060606060606061,0.03937007874015748,0.04424778761061947,0.03553299492385787,0.05325443786982249,0.03414634146341464,0.05825242718446602,0.07142857142857142,0.04424778761061947,0.03937007874015748,1.0
