,Alzheimer Disease,Breast Cancer,Cardiovascular Disease,Chronic Obstructive Pulmonary Disease,Gastric Cancer,Glioblastoma,Heart Stroke,Hepatocellular Carcinoma,Liver Cirrhosis,Lung Adenocarcinoma,Lung Cancer,Male Infertility,Parkinson Disease,Renal Cell Carcinoma,Rheumatoid Arthritis
DQ569913,0.30393535586739356,0.06686679525895443,0.8144107719261594,0.05116864516167528,0.09243652178469601,0.056788448786681725,0.06325227991361454,0.09275837500481932,0.0629693797443679,0.0359262675391648,0.045435560291663374,0.04595751165843524,1.0,0.6985619480228654,0.05258319314897939
DQ569915,0.31624020527536784,0.06385173493744906,0.8194831517294137,0.050164281008261716,0.08748249532382985,0.05432479978027396,0.061293430466295394,0.08982900995207176,0.0606184137564735,0.03477389741948818,0.04286718758947135,0.04437435691882449,0.8946922164740718,0.7336928700982583,0.050821485471767014
DQ569918,0.3086608310991986,0.06946723825259794,0.8288928138673469,0.053321237991200074,0.09872646766581825,0.058144356203382805,0.06506254751014248,0.09703501047869582,0.06482729612186257,0.03579002234383702,0.045415621551105706,0.04719770680222053,1.0,0.7756528573603351,0.05436967906261238
DQ569923,0.30385313795570057,0.06738491667190563,1.0,0.05136062031181564,0.09204264901593293,0.05969920174226662,0.06381086955009438,0.0925672750381227,0.06177504720039225,0.03619778812423134,0.04524184088835875,0.04593496320275682,0.8958508589968698,0.7932410320933241,0.05287706214255885
DQ569925,0.3090659443935284,0.0669451858488057,0.8230081232820167,0.05221292113096896,0.09036032815908082,0.05842775952082886,0.06440893847592655,0.09008229594180778,0.06187719454935042,0.03682563610515345,0.04539297150131065,0.0461535069863502,0.8973847657022811,0.7523037528342941,0.05301070480220873
DQ569927,0.3018366359792782,0.06506460455239173,0.8104182448361943,0.05095391137844082,0.08845728614625356,0.054945152480911995,0.061792316967468695,0.08777255877537446,0.060680132495705474,0.03480663644121809,0.0443158541899378,0.045209825558206074,0.8940826202166846,0.7379621640268768,0.05173258856808962
DQ569928,0.3118861479752364,0.06821769280632053,0.8229762224914466,0.05317551473655489,0.09289308890077833,0.05687204567961919,0.06561102530658644,0.09401402458870747,0.06412677906271794,0.03573009077896994,0.045329420065829185,0.046955760572872075,0.8983565505736382,1.0,0.05404196130703125
DQ569935,0.29958109586094095,0.064121354284983,1.0,0.05017113239571258,0.08607125176096662,0.056163019787438206,0.06148441703874744,0.086011482131801,0.059384651903833005,0.034091304446258186,0.0430938155704786,0.04444065035652842,0.8819687458466499,0.7677676499803716,0.05089883472504473
DQ569936,0.3061675140264304,0.06674209140919063,0.8250472978760388,0.050834711928906616,0.09131422924133291,0.059924071160118886,0.0640721943551161,0.0940569593585204,0.062038923482881383,0.03585871114974622,0.04445678431226183,0.045469887462617674,0.8963792437597572,1.0,0.052402241163840624
DQ569937,0.30093378188272424,0.06494318642580199,0.82020100392784,0.05088289693773286,0.0873785269773337,0.055741603232810674,0.06284327272368526,0.08792275907220395,0.06019223968085123,0.03435107069211641,0.0434761601749241,0.044995612639875275,0.8906006881233461,0.7300300174768142,0.05155383373704431
DQ569948,0.31367294685783464,0.06692336043647103,0.8204892007539971,0.051251269993881174,0.09088092682756752,0.05668474084295274,0.06291944896399446,0.09249190115509595,0.06238689383526386,0.03549296480199769,0.04443995103588741,0.04600077190822976,1.0,0.7208463455284377,0.052913048729239555
DQ569951,0.3012104146783875,0.0672756334801756,0.8236369549825925,0.05156968162157864,0.09091679914205744,0.05971720184148262,0.06434356740827818,0.09181095037550904,0.06246407323887537,0.03621211038568587,0.04506466931463584,0.04632153976266533,0.8842569202571298,1.0,0.05307420185086392
DQ569958,0.3061043642607732,0.06657833636560738,0.8240874631280173,0.05054824651999644,0.09032027609065488,0.05662277809240833,0.06402472462395892,0.09124414770571546,0.06133262237625747,0.034761493683685786,0.04439277571947196,0.04821016642332106,1.0,0.7616694468175838,0.05236686297241803
DQ569962,0.30977313997272177,0.06780705882009803,0.8228511128177022,0.05147876017343602,0.0928394516698246,0.05633024557943535,0.06347526016209372,0.09368161694167967,0.06269354861241183,0.037658893031764305,0.04580660460691678,0.046165070625391706,0.8986903911493975,0.6888487994230102,0.05296075415845186
DQ569963,0.30632950109580814,0.06809662189368063,0.8259320363799526,0.051986029923808075,0.09220295871639095,0.060373602708225484,0.06484783829522382,0.09237704056686699,0.06340737188752836,0.03614674573368519,0.04520516939409247,0.0468730970635834,1.0,0.7802235516326894,0.053924581206762176
DQ569966,0.3043978580293758,0.0664206675576228,0.8232956695966698,0.05116976327932045,0.0927235882972749,0.05894069950822102,0.06312135405141914,0.09755791477857101,0.06542150036161229,0.03697953674570296,0.04416536079669379,0.04590329597230443,1.0,0.7829958804509849,0.05262520161428138
DQ569967,0.31521998573637877,0.06538885017102217,0.8159071808632052,0.05097008712649054,0.0884063120054506,0.05486162699001372,0.0623859919338716,0.08903010270916346,0.06158766751586522,0.034298362180927744,0.04414113828974127,0.04572383431186246,0.8974223010699983,1.0,0.05242811827836534
DQ569979,0.31262275046750576,0.07118920566265688,1.0,0.05430237978996207,0.09652271800708082,0.062208824391699655,0.06661621077178767,0.0995536000291926,0.06641937957510616,0.0368892397380869,0.04630160640367401,0.04856594331806371,1.0,0.8091157105090975,0.05622333597841693
DQ569987,0.30326357807884724,0.0672251171138021,0.8181225434390903,0.051900827754612654,0.09198940645712098,0.058642338336506825,0.06337728895365421,0.09115731795831097,0.06180702586387717,0.03494261230248832,0.044399072420842255,0.04604973908498047,1.0,0.7738748698547686,0.052786785350043795
DQ569996,0.30226177307822966,0.0664740335328426,0.8204847181497913,0.0508852777557491,0.09316233021822706,0.056212434672959735,0.06396599580681392,0.09241115595461788,0.06198520703917485,0.03567227590755776,0.04410974972173733,0.04577676437368666,1.0,0.7086787464503379,0.05250786739660113
DQ569997,0.3026755487867186,0.06578684080076604,0.8236972659521807,0.05060605686868693,0.09077444823947978,0.0561509290632604,0.06255317580303155,0.09342585387212611,0.06214262280637974,0.03557730465640766,0.04400013937954441,0.04533119881326934,0.8949177477754638,0.7751308788069471,0.05210185296701351
DQ569999,0.3139961524747332,0.08793082250059817,1.0,0.06669178306368205,0.12276988270654061,0.0765689892313198,0.08049728837451017,0.12791097278887018,0.08450919009853579,0.04491212452876912,0.053870113974180345,0.06093020330528155,1.0,0.8189337767086127,0.07145033105744968
DQ570007,0.31443614341583365,0.07007634717660025,0.8337112147895566,0.05369694424181146,0.10070967488744531,0.06277053266800665,0.06618694326505951,0.09709484817662066,0.0662932705170224,0.037368352165413066,0.046536774698099734,0.04803823817853779,0.8977573215204995,1.0,0.05562935580436672
DQ570008,0.30454548330970416,0.06799991692904274,0.8241096593746589,0.051180624784483306,0.09137951523116797,0.060987123799076684,0.06447641317408132,0.0939940345413584,0.061700931566620064,0.03756146797791553,0.045315920354938886,0.045984592208526,1.0,1.0,0.05337455785643884
DQ570009,0.30678104537376044,0.06665369811613797,0.8123860769740354,0.0508978980622649,0.09100374181335014,0.057715558679358105,0.0633412789831079,0.0921807481648331,0.06175062594434507,0.036381480412796555,0.04470269949921266,0.04628170382115572,0.8961149169092337,0.7774840379026035,0.05291394510269263
DQ570011,0.30741053047944666,0.06603203200875793,0.8245847935135927,0.05069115503645187,0.08930185363405142,0.0600511263714804,0.06265427903754271,0.09159586493497954,0.061417343939053536,0.03520683804548666,0.043685716192272364,0.0454387887006772,0.8967391775268979,1.0,0.052255757919952905
DQ570024,0.3096373419568784,0.06760204951189933,1.0,0.05188259215475251,0.09552568897391372,0.05641775871881764,0.06419741507322638,0.0995128396923358,0.06366435679498972,0.0358830056195851,0.04502572683485762,0.046450620229933536,1.0,0.6849442688513518,0.05351216760113244
DQ570029,0.31563999015520244,0.06908069942640208,0.8247740574815883,0.0528640587738447,0.09414312060468367,0.05999736110437942,0.06530704896885929,0.09553428558930245,0.06412059843195492,0.03641167928329851,0.04535798936333637,0.04725602806082532,0.8982872680171379,1.0,0.054721979838864045
DQ570032,0.3124162984406077,0.06727586487791345,0.8221546745341517,0.05217998804772518,0.09424282318563462,0.06033279554657074,0.06301801654823447,0.10286794317499937,0.06466612910356215,0.035795886605266156,0.04460180046593498,0.04622099311231149,1.0,0.8089249587333771,0.05306783715861665
